id,genres,song_name,artist_name,url
2034035,['jazz'],Night Party,Omotesound Tokyo,https://www.jamendo.com/track/2034035
2038436,"['jazz', 'easylistening']",Jazz Cocktail Lounge - Full Length,pinegroove,https://www.jamendo.com/track/2038436
2008323,['jazz'],Happy Time,Omotesound Tokyo,https://www.jamendo.com/track/2008323
2163535,['jazz'],Dance Of The Raindrops,Olepash,https://www.jamendo.com/track/2163535
2053559,"['jazz', 'blues']",Sexy Smooth Jazz - Full Length,pinegroove,https://www.jamendo.com/track/2053559
2147698,['jazz'],Softly As In A Morning Sunrise,Mark Dorricott,https://www.jamendo.com/track/2147698
2062669,['jazz'],Dream in a Summer Night,Olepash,https://www.jamendo.com/track/2062669
1979875,"['jazz', 'blues']",Cooking On The Jazz,Simon Armitage,https://www.jamendo.com/track/1979875
2029666,['jazz'],Calm Jazz Background,Oleksii Bezsalov,https://www.jamendo.com/track/2029666
2060281,"['jazz', 'waltz']",Banoffee Pie,Azinity Music,https://www.jamendo.com/track/2060281
1448936,"['hiphop', 'rap']",ak 10,chapardos,https://www.jamendo.com/track/1448936
1448935,"['rap', 'hiphop']",111111111,chapardos,https://www.jamendo.com/track/1448935
295115,"['rap', 'hiphop']",SHOT,Tes,https://www.jamendo.com/track/295115
1346845,"['hiphop', 'rap']",sol - musik - 0.2,Vzen instrumental beat,https://www.jamendo.com/track/1346845
1443671,"['hiphop', 'rap']",BJBeats - I Want You To Get High,KMR BND,https://www.jamendo.com/track/1443671
1327248,"['rap', 'hiphop']",Jumped off,Donar Donny,https://www.jamendo.com/track/1327248
295097,"['rap', 'hiphop']",WITHOUT CACHE,Tes,https://www.jamendo.com/track/295097
1452842,"['rap', 'hiphop']",Vamp aka 16'ый - Я верю,Vamp aka 16'ый,https://www.jamendo.com/track/1452842
1327232,"['rap', 'hiphop']",Trend,Donar Donny,https://www.jamendo.com/track/1327232
1280664,"['rap', 'hiphop', 'soul']",Dans mon Univers,Fabrice Morphis,https://www.jamendo.com/track/1280664
1229074,"['electronic', 'electronica']",Tell Me Why _RMX,FABELOUS,https://www.jamendo.com/track/1229074
23560,"['house', 'electronica', 'electronic']",Hyper Threading,Zeropage,https://www.jamendo.com/track/23560
1425443,"['electronica', 'electronic']",automatic love,alexol bx,https://www.jamendo.com/track/1425443
